"NCT.Number","drugs"
"NCT00681876","Irinotecan | Avastin | Erbitux"
"NCT01607957","TAS-102 | Placebo"
"NCT00854971","TKCell"
"NCT00003225","amifostine trihydrate | irinotecan hydrochloride"
"NCT00885885","Panitumumab+FOLFOX-4 | Panitumumab+FOLFIRI"
"NCT01550055","Cetuximab plus Irinotecan Synchronously | Irinotecan and Cetuximab Subsequently"
"NCT01960023","Cetuximab | Neratinib"
"NCT00113763","Panitumumab"
"NCT02086656","capecitabine, oxaliplatin, irinotecan and bevacizumab"
"NCT01103323","Regorafenib | Placebo"
"NCT01853813","Bevacizumab and FOLFIRI"
"NCT02519582","Niclosamide"
"NCT01276379","FOLFIRI | FOLFOX-6 | Cetuximab"
"NCT01523431","CPT-11"
"NCT02314819","fruquintinib | placebo"
"NCT01075048","Tivantinib + cetuximab + irinotecan | Placebo + cetuximab + irinotecan"
"NCT00972465","Nimotuzumab and chemotherapy"
"NCT00209651","Campto, Topotesin | TS-1"
"NCT00033306","ixabepilone | Fluoropyrimidine | Irinotecan"
"NCT01057017","intervention"
"NCT00345761","Bevacizumab | Oxaliplatin | Capecitabine"
"NCT01448655",""
"NCT01996969","Regorafenib"
"NCT00327119","ABX-EGF"
"NCT02641873","BBI608 | FOLFIRI + Bevacizumab"
"NCT00173472","Chemotherapy"
"NCT00202774",""
"NCT00780169","sorafenib + FOLFIRI"
"NCT01003600",""
"NCT00852228","IV cetuximab | HAI chronomodulated chemotherapy | HAI conventional chemotherapy"
"NCT00254137","capecitabine | irinotecan | oxaliplatin | cetuximab"
"NCT00286130","Cetuximab, Oxaliplatin, Leucovorin, 5FU, Irinotecan | FOLFOX 6 | FOLFIRI"
"NCT00725400",""
"NCT00388700","GM-CT-01 | 5-Fluorouracil, Leukovorin, bevacizumab"
"NCT01250015",""
"NCT02332499","Anlotinib | Placebo"
"NCT00081536","Aroplatin in combination with capecitabine"
"NCT01219920","FOLFIRI | FOLFOXIRI"
"NCT02068131","Novaferon | Capecitabine"
"NCT00598975","NKTR-102 + Cetuximab"
"NCT02613221","panitumumab, TAS-102"
"NCT00958386","Panitumumab+irinotecan"
"NCT00810771",""
"NCT02677389",""
"NCT01311050","Capecitabine, Oxaliplatin, Irinotecan, Bevacizumab"
"NCT01001377","Cetuximab | Panitumumab"
"NCT02352688",""
"NCT02248038",""
"NCT01570010",""
"NCT00399035","Cediranib | FOLFOX | XELOX | Cediranib Placebo"
"NCT00660153","Tivozanib plus FOLFOX6"
"NCT00997685","Capecitabine plus oxaliplatin"
"NCT01468623",""
"NCT00209625","irinotecan | leucovorin | fluorouracil"
"NCT00793455",""
"NCT01226719","Panitumumab | Oxaliplatin | Irinotecan | Leucovorin | 5-Fluorouracil"
"NCT01966289","CY | GVAX | SGI-110"
"NCT01134640",""
"NCT00233623","Iressa | Irinotecan | 5Fluorouracil | Leucovorin"
"NCT01008475","EMD 525797 250 mg | EMD 525797 500 mg | EMD 525797 750 mg | EMD 525797 1000 mg | Cetuximab | Irinotecan"
"NCT02310477","regorafenib"
"NCT00442637","capecitabine + bevacizumab"
"NCT00109226","Avastin"
"NCT01640405","modified FOLFOX6 + bevacizumab | FOLFOXIRI + Bevacizumab"
"NCT01344304","Aprepitant / Fosaprepitant"
"NCT01035385","FOFLOX4"
"NCT00660582","Cetuximab | Oxaliplatin + Fluorouracil + folinic acid"
"NCT00636610","Vismodegib 150 mg | Placebo to vismodegib | Bevacizumab | Modified FOLFOX | FOLFIRI"
"NCT01719380","LGX818 | Cetuximab | BYL719"
"NCT02188264","Cyclosporine | Selumetinib"
"NCT01651013",""
"NCT01998152",""
"NCT01453452",""
"NCT00853684","OXCE | Endostar"
"NCT00422773","Cetuximab"
"NCT01858662","5-Fluorouracile | leucovorin L | Oxaliplatin | Irinotecan | Cetuximab"
"NCT00154102","Cetuximab | FOLFIRI"
"NCT02211443","Recombinant full human Anti-EGFR Monoclonal Antibody"
"NCT00531245","TS-1, oxaliplatin"
"NCT02135887","MB-6 | Placebo"
"NCT00364013","Panitumumab | FOLFOX regimen"
"NCT02139215",""
"NCT01715441","Sorafenib and irinotecan combination | Sorafenib monotherapy | Irinotecan monotherapy"
"NCT02673710",""
"NCT01919879","Cetuximab + Afatinib | Cetuximab"
"NCT01704703","panitumumab | FOLFIRI"
"NCT00155727",""
"NCT02476045","5-fluorouracil,leucovorin,panitumumab | panitumumab | Oxaliplatin, 5-fluorouracil,leucovorin,panitumumab"
"NCT01754636",""
"NCT00199173",""
"NCT02394834","oxaliplatin, levofolinate calcium, 5-FU, panitumumab | oxaliplatin, levofolinate calcium, 5-FU, bevacizumab"
"NCT02423720",""
"NCT02553031",""
"NCT01161316","mFOLFOX-6 + cetuximab until disease progression or early withdrawal. | 8 cycles of mFOLFOX-6 + cetuximab, followed by cetuximab alone until disease progression or early withdrawal."
"NCT00079872","Pemetrexed"
"NCT00531115","cetuximab 5mg/ml"
"NCT02542436",""
"NCT01150877","Vitamin D"
"NCT02027545",""
"NCT00860249",""
"NCT02015754","DEBIRI"
"NCT01839877","HIA DEBIRI + systemic FOLFOX"
"NCT02331927","Aflibercept"
"NCT02909114",""
"NCT00920751",""
"NCT02543762",""
"NCT00176774","Irinotecan | 5-Fluorouracil | Leucovorin | Tetrathiomolybdate"
"NCT02052050",""
"NCT01555762",""
"NCT00229554",""
"NCT00242788","Gefitinib and capecitabine"
"NCT02607072","Acetylsalicylic acid/aspirin 200 mg daily | Acetylsalicylic acid/aspirin 100 mg daily | Placebo"
"NCT01538550",""
"NCT01198743",""
"NCT02540850",""
"NCT02125409","Acetylsalicylic acid"
"NCT01904656",""
"NCT02777814","Entecavir"
"NCT01074216","vitamin D repletion with Cholecalciferol"
"NCT02798224",""
"NCT00614393","dalotuzumab | irinotecan hydrochloride | cetuximab | Placebo"
"NCT01791309","combination panitumumab and vemurafenib"
"NCT02070146",""
"NCT00551213","Robatumumab | Irinotecan | Cetuximab | Capecitabine | FOLFOX | CAPEOX/XELOX | FOLFIRI"
"NCT01070355","Eicosapentaenoic acid free fatty acid | Placebo"
"NCT00835185","IMC-11F8 | Oxaliplatin | Folinic acid | 5-FU"
"NCT00049335","capecitabine"
"NCT00004193","ISIS 2503"
"NCT00766220","SIR-spheres Agent Administration | Cetuximab | Irinotecan"
"NCT00073138","ABT-751"
"NCT02029326",""
"NCT02753127","Napabucasin | Fluorouracil | Leucovorin | Irinotecan | Bevacizumab"
"NCT00033748","monoclonal antibody 11D10 anti-idiotype | monoclonal antibody 3H1 Alu Gel"
"NCT01068132","Cetuximab | FOLFIRI"
"NCT01696981",""
"NCT01564810","Cetuximab | chemotherapy of mFOLFOX6 or FOLFIRI"
"NCT00250029","Oxaliplatin"
"NCT00385970","Tegafur-uracil | Calcium folinate | Krestin"
"NCT00631410","sunitinib + mFOLFOX6 | sunitinib + mFOLFOX6"
"NCT00673322","Gene Modified T Cells"
"NCT01183780","Ramucirumab | Placebo | Irinotecan | Folinic Acid | 5-Fluorouracil"
"NCT00672828",""
"NCT01858649","Bevacizumab | 5 FU | Oxaliplatin | Irinotecan"
"NCT00869271",""
"NCT02864485",""
"NCT02715141",""
"NCT00813137","Folfox4 plus recombinant human endostatin"
"NCT02088333",""
"NCT00457691","5 fluorouracil | irinotecan | levo- leucovorin | sunitinib | 5 fluorouracil | irinotecan | levo- leucovorin | placebo"
"NCT02837263","Pembrolizumab"
"NCT01450319","Cetuximab"
"NCT00190515","5FU+l-leucovorin | UFT+Leucovorin"
"NCT00928928",""
"NCT00819780","Panitumumab | Bevacizumab | mFOLFOX6"
"NCT02613728",""
"NCT02246634",""
"NCT00188331",""
"NCT02202096",""
"NCT02103062","ABI-007"
"NCT02508077","Fluorouracil | Irinotecan Hydrochloride | Leucovorin Calcium | Panitumumab"
"NCT02465502","Regorafenib"
"NCT02873195","Atezolizumab | Bevacizumab | Capecitabine"
"NCT00947206",""
"NCT02829385","Apatinib and XELOX combined treatment group"
"NCT01292681",""
"NCT01875380","Regorafenib"
"NCT01310478","recombinant human endostatin"
"NCT00841282",""
"NCT02321813",""
"NCT00006015","trastuzumab | fluorouracil | leucovorin calcium | oxaliplatin"
"NCT02139475",""
"NCT00625625","isosulfan blue"
"NCT01939223","Regorafenib | Placebo"
"NCT02559024","MEDI6469"
"NCT02713373","Cetuximab | Pembrolizumab"
"NCT01853319","Regorafenib"
"NCT01591109",""
"NCT00332163","Panitumumab | Irinotecan | FOLFIRI | Pre-emptive Skin Treatment | Reactive Skin Treatment"
"NCT02368886","Clobetasol Propionate | Regorafenib"
"NCT01892527","Tivantinib"
"NCT00825110",""
"NCT01589146","Heparin, Low-Molecular-Weight"
"NCT02316535","Capecitabine"
"NCT00548236",""
"NCT02195011","Regorafenib"
"NCT01040000","NPC-1C/NEO-102"
"NCT02175654","Regorafenib"
"NCT02495532",""
"NCT00609622","sunitinib | mFOLFOX6 | bevacizumab | mFOLFOX6"
"NCT00905047","XELODA | TEGAFUR URACIL - FOLINIC ACID"
"NCT01307878","chemotherapy ± targeted therapy"
"NCT01293942","irinotecan, capecitabine, oxaliplatin and bevacizumab"
"NCT00440310","Talaporfin sodium | FOLFOX4 regimen | FOLFIRI regimen"
"NCT00225641",""
"NCT00314353","Bevacizumab | Oxaliplatin | Capecitabine | Irinotecan"
"NCT01545141","Chemokine modulatory regimen"
"NCT00478309",""
"NCT00078468","PELITREXOL/AG-2037"
"NCT00630786","Panitumumab | Conatumumab"
"NCT00825240",""
"NCT00061815","cetuximab | oxaliplatin | leucovorin | 5-fluorouracil | 5-fluorouracil | cetuximab"
"NCT02717923",""
"NCT01082315","Erbitux"
"NCT00115765","Oxaliplatin Based Chemotherapy | Panitumumab | Irinotecan Based Chemotherapy | Bevacizumab"
"NCT02781337",""
"NCT00973609","5-Fluorouracil, Folic acid, Capecitabine; Bevacizumab | 5-Fluorouracil, Folic acid, Capecitabine; Bevacizumab | 5-Fluorouracil, Folic acid, Capecitabine; Bevacizumab"
"NCT00036517","PHY906"
"NCT00361842","CPX-1 Liposome Injection"
"NCT00582335",""
"NCT02392143",""
"NCT02413853","CBP/beta-catenin Antagonist PRI-724 | Bevacizumab | Leucovorin Calcium | Oxaliplatin | Fluorouracil"
"NCT00411450","Panitumumab | FOLFIRI"
"NCT02703571","ribociclib | Trametinib"
"NCT02654639","TAS-102 and Bevacizumab"
"NCT02305758","Veliparib | Placebo"
"NCT00724503","Systemic chemotherapy | Systemic chemotherapy"
"NCT02066688","folic acid | folic acid calcium vitamin D3 | calcium"
"NCT00476970",""
"NCT02487992","Cytokine-Induced Killer Cells"
"NCT00813605","AMG 655 | AMG 479"
"NCT00720993",""
"NCT02038283",""
"NCT01629524",""
"NCT00867334","Imatinib mesylate followed by a combination of imatinib mesylate & panitumumab | Standard-of-care treatment with panitumumab"
"NCT02246725",""
"NCT01143285",""
"NCT00506168","Irinotecan, Capecitabine"
"NCT01555450",""
"NCT00025025",""
"NCT00812942",""
"NCT01972490","avastin+chemotherapy of mFOLFOX6 or FOLFIRI | chemotherapy of mFOLFOX6 or FOLFIRI"
"NCT01228734","Cetuximab + Oxaliplatin + 5FU/FA | Oxaliplatin + 5FU/FA"
"NCT01885702","DC vaccination"
"NCT01380262",""
"NCT01815879",""
"NCT00741481",""
"NCT01657773",""
"NCT01675128","ISIS 183750 | Irinotecan"
"NCT01220063","irinotécan"
"NCT01721954","FOLFOX6m"
"NCT00862784","IMC-1121B | Oxaliplatin | Folinic acid | 5-FU | 5-FU"
"NCT00677144","OS | XELOX"
"NCT01321658",""
"NCT01210235",""
"NCT01415479",""
"NCT00545545","Safety and efficacy of escalating doses | Safety and efficacy of escalating doses."
"NCT01993472","Andrographolides | Capecitabine"
"NCT00122720","Darbepoetin Alfa"
"NCT01805622",""
"NCT00154713","CEA pulsed dendritic cells"
"NCT01251536","Dose escalation of cetuximab | Standard first line treatment with cetuximab + Folfiri"
"NCT02247336",""
"NCT01759238","Capecitabine | Bevacizumab"
"NCT02748772","Two Anti-angiogenesis Drugs（Endostar and Thalidomide） | Pure chemotherapy（Xelox）"
"NCT00777478","capiri-sutent"
"NCT00643877",""
"NCT02751177",""
"NCT00005076","cetuximab | irinotecan hydrochloride"
"NCT02458664",""
"NCT01862562",""
"NCT01477814",""
"NCT01212718","FUFA | systemic chemotherapy"
"NCT01652196","aflibercept | oxaliplatin | leucovorin | fluorouracil"
"NCT02584998",""
"NCT01490866","Axitinib | Bevacizumab | 5-Fluorouracil | 5-Fluorouracil | Leucovorin | Oxaliplatin"
"NCT00002842","floxuridine | fluorouracil | leucovorin calcium"
"NCT02573220","Cetuximab | Fluorouracil | Irinotecan Hydrochloride | Leucovorin Calcium"
"NCT00110721","GM-CT-01 plus 5-Fluorouracil"
"NCT02222753",""
"NCT00806663","sunitinib added to FOLFIRI"
"NCT02380443","AlloStim"
"NCT01238094","Simvastatin"
"NCT00436072","ZD6474 | Cetuximab | Irinotecan"
"NCT02450422",""
"NCT02502656",""
"NCT00284258","CPT-11 and TS-1 | CPT-11, 5-FU and l-LV"
"NCT00653484",""
"NCT01413295","Dendritic Cell Vaccine"
"NCT00006001","semaxanib"
"NCT01534923",""
"NCT00202787","FOLFOX-4+cetuximab | FOLFOX-4"
"NCT00540943","pazopanib"
"NCT00784446","Oxaliplatin, Capecitabine, Bevacizumab, Imatinib"
"NCT00003354",""
"NCT02157454",""
"NCT01273402","TF2/IMP288"
"NCT00165568","Bevacizumab"
"NCT00313755",""
"NCT00388206",""
"NCT01632020","Placebo | Metformin"
"NCT01238939","NK012 and 5-FU"
"NCT00335595","XELOXA | XELOXA-A"
"NCT00717990","Capecitabine | Bevacizumab | Irinotecan"
"NCT01531777","Apatinib | apatinib"
"NCT00883792",""
"NCT00593060","Temsirolimus | Cetuximab"
"NCT01478594","Tivozanib | Bevacizumab | mFOLFOX6"
"NCT00862342","Bevacizumab"
"NCT00003186","isosulfan blue"
"NCT01298570","Regorafenib | FOLFIRI | Placebo | FOLFIRI"
"NCT02575859","adjuvant HIPEC"
"NCT01317433","Doxycycline | Cetuximab"
"NCT01557101",""
"NCT02403024",""
"NCT01290926","chemotherapy"
"NCT02483832",""
"NCT00564694",""
"NCT02215642",""
"NCT00779311","sorafenib | bevacizumab | mFOLFOX6 regimen"
"NCT00044967",""
"NCT00207155","Cetuximab"
"NCT02295930",""
"NCT01668680","CAPECITABINE, CELECOXIB and METHOTREXATE"
"NCT02699073","regorafenib"
"NCT00159432","Oxaliplatin | Bevacizumab | Capecitabine"
