"drug.name","targets","pathways"
"Darbepoetin alfa  |  Darbepoetin | Darbepoetin alfa,recombinant","EPOR",""
"Urokinase  |  U-plasminogen activator | uPA | Urokinase-type plasminogen activator precursor","PLG | SERPINE1 | PLAUR | PLAU | LRP2 | SERPINB2 | PLAT | ST14 | SERPINA5 | NID1",""
"Goserelin  |  Goserelin | Goserelin acetate | ICI-118630 | Zoladex","LHCGR | GNRHR",""
"Reteplase  |  t- PA | t-plasminogen activator | Tissue-type plasminogen activator precursor | tPA","PLG | SERPINE1 | FGA | PLAUR",""
"Erythropoietin  |  E.P.O. | Epoetin alfa | Epoetin alfa rDNA | Epoetin alfa, recombinant | Epoetin beta | Epoetin beta rDNA | Epoetin epsilon | Epoetin gamma | Epoetin gamma rDNA | Epoetin kappa | Epoetin omega | Erythropoiesis stimulating factor | Erythropoietin (human, recombinant) | Erythropoietin (recombinant human) | ESF | SH-polypeptide-72","EPOR",""
"Salmon Calcitonin  |  Calcimar | Calcitonin (Salmon Synthetic) | Calcitonin 1 precursor | Calcitonin Salmon | Calcitonin salmon recombinant | Calcitonin-salmon | Calcitonin, salmon | Cibacalcin | Fortical | Miacalcin | Salmon calcitonin | Salmotonin","CALCR",""
"Interferon alfa-n3  |  NA","IFNAR2 | IFNAR1",""
"Pegfilgrastim  |  G-CSF | Granulocyte colony-stimulating factor precursor | Lenograstim | N-(3-Hydroxypropyl)Methionylcolony-stimulating Factor (human), 1-Ether with .Alpha.-Methyl-.Omega.-Hydroxypoly(Oxyethylene) | Pluripoietin","ELANE | CSF3R",""
"Sargramostim  |  GM-CSF","CSF2RA | IL3RA | PRG2 | CSF2RB | SDC2",""
"Secretin  |  NA","SCTR",""
"Peginterferon alfa-2b  |  NA","IFNAR2 | IFNAR1",""
"Thyrotropin Alfa  |  rTSH | Thyroid stimulating hormone | Thyrotrophin-alfa | Thyrotrophin-alpha | Thyrotropin | Thyrotropin-a | Thyrotropin-alpha | Thytrophin | TSH","TSHR",""
"Antihemophilic Factor (Recombinant)  |  Antihemophilic factor (human) | Antihemophilic Factor (Recombinant), Plasma/Albumin-Free Method | Antihemophilic factor human | Antihemophilic Factor, Human Recombinant | Factor VIII (Recombinant) | Human Factor VIII (Recombinant) | rAHF","F10 | F9 | CANX | VWF | HSPA5 | CALR | LRP1 | PHYH | ASGR2 | LMAN1 | MCFD2",""
"Anakinra  |  ICIL-1RA | IL-1ra | IL-1RN | IL1 inhibitor | Interleukin-1 receptor antagonist protein precursor | IRAP","IL1R1",""
"Immune Globulin Human  |  Human IGG | Human Immunoglobulin G | Human Normal Immunoglobulin | Immune globulin (human) | Immune Globulin Intravenous | Immune Globulin Subcutaneous | Immunoglobulin G (human) | Immunoglobulin G, Human | Intravenous Immunoglobulin | IVIg","FCGR1A | C5 | FCGR3B | FCGR3A | FCGR2A | FCGR2B | FCGR2C | C3 | FCGR1B | C4A | C4B",""
"Anistreplase  |  t- PA | t-plasminogen activator | Tissue-type plasminogen activator precursor | tPA","PLG | SERPINE1 | FGA | PLAUR",""
"Insulin Human  |  Inhaled insulin | Insulin (human) | Insulin human  | Insulin human [rDNA origin] | Insulin Human Regular | Insulin injection human biosynthetic | Insulin Recombinant Human | Insulin Recombinant Purified Human | Insulin regular | Regular Insulin, human","INSR | IGF1R | CTSD | LRP2 | CPE | NOV | IDE | RB1 | PCSK2 | PCSK1 | IGFBP7 | SYTL4","IGFR signaling | IGFR signaling | IGFR signaling | IGFR signaling | IGFR signaling"
"Tenecteplase  |  t- PA | t-plasminogen activator | Tissue-type plasminogen activator precursor | tPA","PLG | SERPINE1 | FGA | PLAUR | SERPINB2 | CANX | ANXA2 | CLEC3B | KRT8 | CALR | LRP1",""
"Menotropins  |  Menotropins (FSH;LH)","LHCGR | FSHR",""
"Interferon gamma-1b  |  IFN-gamma-1b | Interferon gamma-1b, recombinant | Interferon gamma-2a","IFNGR2 | IFNGR1",""
"Interferon Alfa-2a, Recombinant  |  Interferon alfa-2a | Interferon alfa-2a (recombinant) | Interferon alfa-2a, recombinant | Interferon alfa-2a,recombinant | Interferon alpha-2a | Interferon-alfa-2a | Recombinant human interferon alfa-2a | Recombinant human interferon-alfa-2a | rIFN-alpha-2a | SH-polypeptide-46","IFNAR2 | IFNAR1",""
"Desmopressin  |  1-(3-mercaptopropionic acid)-8-D-arginine-vasopressin | 1-deamino-8-D-arginine vasopressin | 1-Desamino-8-D-arginine vasopressin | DDAVP | Desmopresina | Desmopressin | Desmopressine | Desmopressinum | Minirin | Stimate","AVPR1A | AVPR2 | AVPR1B",""
"Coagulation factor VIIa Recombinant Human  |  Coagulation factor VIIa | Coagulation factor VIIa (recombinant) | Eptacog alfa | Eptacog alfa (activated) | rFVIIa","F10 | F7 | GGCX | TFPI | F3 | HPN",""
"Oprelvekin  |  Adipogenesis inhibitory factor | AGIF | IL-11 | Interleukin-11 precursor","IL11RA",""
"Palifermin  |  FGF-7 | Fibroblast growth factor- 7 | HBGF-7 | Keratinocyte growth factor precursor | KGF","FGFR2 | HSPG2 | FGFR4 | NRP1 | FGFR1 | FGFR3","RTK signaling"
"Glucagon recombinant  |  Glucagon | Glucagon (recombinant dna origin) | Glucagon, human | Glucagon, porcine | Glucagone | Glucagonum","GCGR | GLP1R | GLP2R",""
"Aldesleukin  |  125-L-serine-2-133-interleukin 2 (human reduced) | Interleukin-2 aldesleukin | Interleukin-2(2-133),125-ser | Recombinant interleukin-2 human","IL2RB | IL2RA | IL2RG",""
"Botulinum Toxin Type B  |  Botulinum neurotoxin type B precursor | BTX-B | RimabotulinumtoxinB","VAMP1 | VAMP2 | SYT2",""
"Omalizumab  |  Ig gamma-1 chain C region","FCER1A | MS4A2",""
"Lutropin alfa  |  ICSH | Insterstiial cell-stimulating hormone | LH | LH-B | LSH- beta | LSH-B | Luteinizing hormone | Luteinizing hormone beta subunit | Lutrophin | Lutropin alpha | Lutropin beta chain precursor","LHCGR",""
"OspA lipoprotein  |  Outer surface protein A precursor","TLR2",""
"Insulin Lispro  |  Insulin lispro protamine recombinant | Insulin Lispro Recombinant ","INSR | IGF1R","IGFR signaling | IGFR signaling | IGFR signaling | IGFR signaling | IGFR signaling"
"Insulin Glargine  |  Insulin Glargine (rDNA origin) | Insulin glargine recombinant","INSR | IGF1R","IGFR signaling | IGFR signaling | IGFR signaling | IGFR signaling | IGFR signaling"
"Collagenase clostridium histolyticum  |  NA","COL1A1 | COL3A1 | COL2A1 | COL1A2",""
"Cetrorelix  |  Cetrorelixum","LHCGR | GNRHR",""
"Adalimumab  |  Ig gamma-1 chain C region","TNF | FCGR1A | FCGR3B | C1S | C1R | C1QA | C1QB | C1QC | FCGR3A | FCGR2A | FCGR2B | FCGR2C",""
"Somatropin recombinant  |  GH | GH-N | Growth hormone | Growth hormone 1 | Pituitary growth hormone | Somatotropin precursor | Somatropin | Somatropin [rDNA origin]","GHR | PRLR",""
"Abciximab  |  7E3  | 7E3 antibody | antiGPIIBIIIa | C7E3","ITGA2B | FCGR1A | FCGR3B | VTN | ITGB3 | C1S | C1R | C1QA | C1QB | C1QC | FCGR3A | FCGR2A | FCGR2B | FCGR2C",""
"Drotrecogin alfa  |  Activated protein C | Blood coagulation factor XIV (human) | Drotrecogin alfa (activated) | Drotrecogin alfa (activated), lyophilized | Drotrecogin alfa activated | Drotrecogin alfa, activated | Drotrecogin-alfa | Recombinant human activated protein C (rH-APC)","F8 | F5 | F2 | SERPINE1 | GGCX | PROS1 | PF4 | CP | THBD | PROCR | SERPINA5 | SERPINB6",""
"Gemtuzumab ozogamicin  |  NA","CD33 | FCGR1A | FCGR3B | C1S | C1R | C1QA | C1QB | C1QC | FCGR3A | FCGR2A | FCGR2B | FCGR2C",""
"Alpha-1-proteinase inhibitor  |  Alpha 1-antitrypsin | Alpha 1-Proteinase Inhibitor | Alpha-1 protease inhibitor | Alpha-1-antiproteinase | Alpha-1-antitrypsin | Alpha-1-proteinase Inhibitor (human) | Alpha-1-proteinase inhibitor human | Alpha-1-proteinase Inhibitor, Human | Alpha1-proteinase Inhibitor | Alpha1-proteinase inhibitor (human) | alpha1-proteinase inhibitor human | API","ELANE",""
"Interferon beta-1a  |  Fibroblast interferon | IFN-beta | Interferon beta precursor","IFNAR2 | IFNAR1",""
"Pegademase bovine  |  Adenosine aminohydrolase | Adenosine deaminase","GRB2",""
"Human Serum Albumin  |  Albumin (human) | Albumin human | Albumin microspheres, human | Albumin, blood | Albumin, human | Human albumin | Serum albumin","AMBP | APOE | SAA1",""
"Eptifibatide  |  Integrelin | Intrifiban","ITGB3",""
"Serum albumin iodonated  |  Serum albumin precursor","AMBP | APOE | SAA1",""
"Infliximab  |  Ig gamma-1 chain C region","TNF",""
"Follitropin beta  |  Follicle stimulating hormone beta | Follicle-stimulating hormone beta subunit | Follitrophin beta | Follitropin beta | Follitropin beta chain precursor | FSH-b | FSH-B | FSH-beta","FSHR",""
"Vasopressin  |  8-Arginine vasopressin | 8-L-arginine vasopressin | ADH | Antidiuretic hormone | Arginine vasopressin | Argipressin | AVP | Vasopressin, unspecified","AVPR1A | AVPR2 | AVPR1B",""
"Interferon beta-1b  |  Fibroblast interferon | IFN-beta | Interferon beta precursor","IFNAR2 | IFNAR1",""
"Interferon alfacon-1  |  CIFN | consensus interferon | IFN Alfacon-1 | Interferon Consensus, Methionyl | methionyl interferon consensus | methionyl-interferon-consensus | rCon-IFN | Recombinant Consensus Interferon | Recombinant methionyl human consensus interferon","IFNAR2 | IFNAR1",""
"Hyaluronidase  |  HYAL-1 | Hyaluronidase (glycoprotein, sheep testis isoenzyme) | Hyaluronidase (ovine) | Hyaluronidase (sheep testis isoenzyme) | Hyaluronidase 1 precursor | Hyaluronidase PH-20 | Hyaluronidase, ovine | Ovine hyaluronidase | Sperm adhesion molecule 1 | Sperm surface protein PH-20","TGFB1",""
"Insulin Pork  |  Insulin (pork) | Insulin porcine | Insulin purified porcine | Insulin purified pork | Insulin, porcine | Insulin, regular, pork | Porcine insulin","INSR | IGF1R | CTSD | LRP2 | CPE | NOV | IDE | HLA-DQA2 | RB1 | PCSK2 | PCSK1 | IGFBP7 | SYTL4 | HLA-DQB1","IGFR signaling | IGFR signaling | IGFR signaling | IGFR signaling | IGFR signaling"
"Trastuzumab  |  Anti HER2 | Ig gamma-1 chain C region","ERBB2 | FCGR1A | EGFR | FCGR3B | C1S | C1R | C1QA | C1QB | C1QC | FCGR3A | FCGR2A | FCGR2B | FCGR2C","EGFR signaling | EGFR signaling | EGFR signaling | EGFR signaling"
"Rituximab  |  AntiCD20 | Ig gamma-1 chain C region","MS4A1 | FCGR1A | FCGR3B | C1S | C1R | C1QA | C1QB | C1QC | FCGR3A | FCGR2A | FCGR2B | FCGR2C",""
"Basiliximab  |  chimeric mouse-human antiCD25 | Ig gamma-1 chain C region","IL2RB | IL2RA | FCGR1A | FCGR3B | C1S | C1R | C1QA | C1QB | C1QC | FCGR3A | FCGR2A | FCGR2B | FCGR2C",""
"Muromonab  |  Anti-CD3 | Muromonab-CD3","CD3E | FCGR1A | FCGR3B | C1S | C1R | C1QA | C1QB | C1QC | FCGR3A | FCGR2A | FCGR2B | FCGR2C | CD3D | CD3G | CD247",""
"Ibritumomab tiuxetan  |  Ibritumomab | mAb Murine (IGG1) Anti P19437 (CD20_MOUSE)","MS4A1 | FCGR1A | FCGR3B | C1S | C1R | C1QA | C1QB | C1QC | FCGR3A | FCGR2A | FCGR2B | FCGR2C",""
"Tositumomab  |  Ig gamma-1 chain C region","MS4A1 | FCGR1A | FCGR3B | C1R | C1QA | C1QB | C1QC | FCGR3A | FCGR2A | FCGR2B | FCGR2C",""
"Pegvisomant  |  GH | GH-N | Growth hormone | Growth hormone 1 | Pituitary growth hormone | Somatotropin precursor","GHR",""
"Botulinum Toxin Type A  |  AbobotulinumtoxinA | BoNT/A | Bontoxilysin A | Botulinum neurotoxin type A precursor | BTX-A | IncobotulinumtoxinA | OnabotulinumtoxinA","SNAP25 | RHOB",""
"Streptokinase  |  Streptokinase C precursor","PLG | F2R",""
"Alemtuzumab  |  NA","CD52 | FCGR1A | FCGR3B | C1R | C1QA | C1QB | C1QC | FCGR3A | FCGR2A | FCGR2B | FCGR2C",""
"Capromab  |  NA","FOLH1",""
"Cyclosporine  |  Ciclosporin | CsA | CyA | Cyclosporin A","CAMLG | PPIA | PPIF | PPP3R2",""
"Alefacept  |  ASP0485","FCGR1A | CD2 | FCGR3B | C1R | C1QA | C1QB | C1QC | FCGR3A | FCGR2A | FCGR2B | FCGR2C",""
"Felypressin  |  2-(L-phenylalanine)-8-L-lysinevasopressin | Felipresina | Felypressin | Felypressine | Felypressinum | PLV-2","AVPR1A",""
"Urofollitropin  |  Follicle Stimulating Hormone | Follicle-stimulating hormone beta subunit | Follitropin beta chain precursor | FSH | FSH-B | FSH-beta | Urofollitrophin","FSHR",""
"Efalizumab  |  anti alphaL integrin | antiCD11 alpha | hu1124 | Raptiva","ITGAL | FCGR1A | FCGR3B | C1R | C1QA | C1QB | C1QC | FCGR3A | FCGR2A | FCGR2B | FCGR2C",""
"Chorionic Gonadotropin (Recombinant)  |  CG-beta | Choriogonadotropin alpha | Choriogonadotropin beta chain precursor | Chorionic gonadotrophin beta subunit | hCG | r-HCG","LHCGR | FSHR",""
"Anti-thymocyte Globulin (Rabbit)  |  Anti-thymocyte globulin (rabbit) | rabbit ATG | rATG | Thymoglobulin","ITGAL | CD1A | CD86 | ITGB3 | FCGR2B | CD4 | MR1 | ITGB1 | ITGAV",""
"Filgrastim  |  G-CSF  | Granulocyte Colony Stimulating Factor  | Tbo-filgrastim","ELANE | CSF3R",""
"Coagulation Factor IX  |  Coagulation factor IX (recombinant) | Coagulation factor IX human | Coagulation factor IX recombinant human | Factor IX, recombinant | Factor IX,recombinant | Nonacog alfa | Recombinant factor IX","F8 | F2 | F10 | F7 | GGCX | F11 | LRP1",""
"Becaplermin  |  c-sis | PDGF B-chain | PDGF-2 | PDGF-BB | PDGFB | Platelet-derived growth factor B chain precursor | Platelet-derived growth factor beta polypeptide | SH-POLYPEPTIDE-59","PDGFRB | PDGFRA | A2M","RTK signaling | RTK signaling | RTK signaling"
"Octreotide  |  Octreotida | Octreotidum | Octrotide","SSTR1 | SSTR5 | SSTR2",""
"Interferon Alfa-2b, Recombinant  |  Interferon alfa-2b | Interferon α-2b | Intron (Interferon α2b) | Intron A | Intron A (Interferon α2b) | rIFN-alpha-2b","IFNAR2 | IFNAR1",""
"Abarelix  |  NA","GNRHR",""
"Oxytocin  |  Pitocin | Syntocinon","OXT | OXTR",""
"Natalizumab  |  Anti-alpha4 integrin | Anti-VLA4","ITGA4 | FCGR1A | FCGR3B | ICAM1 | C1R | C1QA | C1QB | C1QC | FCGR3A | FCGR2A | FCGR2B | FCGR2C",""
"Enfuvirtide  |  Envelope polyprotein GP160 precursor [Contains: Exterior membrane glycoprotein,GP120, Transmembrane glycoprotein,GP41]","gp41",""
"Palivizumab  |  anti-RSV | Synagis","F | FCGR1A | FCGR3B | C1R | C1QA | C1QB | C1QC | FCGR3A | FCGR2A | FCGR2B | FCGR2C",""
"Daclizumab  |  Anti-IL-2 | Humanized antiCD25 | Ig gamma-1 chain C region","IL2RB | IL2RA | FCGR1A | FCGR3B | C1R | C1QA | C1QB | C1QC | FCGR3A | FCGR2A | FCGR2B | FCGR2C",""
"Bevacizumab  |  antiVEGF | Avastin","VEGFA | FCGR1A | FCGR3B | C1R | C1QA | C1QB | C1QC | FCGR3A | FCGR2A | FCGR2B | FCGR2C",""
"Arcitumomab  |  anti-Carcinoembryonic Antigen Monoclonal Antibody Fab' Fragment | IMMU-4","CEACAM1",""
"Pyridoxal Phosphate  |  3-hydroxy-2-methyl-5-((phosphonooxy)methyl)-4-pyridinecarboxaldehyde | 3-hydroxy-5-(hydroxymethyl)-2-methylisonicotinaldehyde 5-phosphate | Codecarboxylase | PLP | Pyridoxal 5-monophosphoric acid ester | Pyridoxal 5-phosphate | Pyridoxal 5'-phosphate | Pyridoxal P | Pyridoxal phosphate anhydrous | Pyridoxal-5P | Pyridoxal-P","HDC | PYGL | CSAD | AGXT2 | NFS1 | SDS | PNPO | ABAT | CCBL1 | PDXP | SHMT2 | AGXT | CBS | SHMT1 | GAD1 | GOT2 | SRR | KYNU | ODC1 | ALAS1 | OAT | SPTLC1 | AZIN2 | THNSL1 | BCAT1 | GCAT | GOT1 | PSAT1 | GLDC | SPTLC2 | GPT | TAT | BCAT2 | AADAT | SGPL1 | CTH | FTCD | ALAS2 | PYGM | PROSC | PYGB | DDC | GIG18 | GAD1 |  |  |  |  | ALAS1 | GAD2 | DDC | PDXDC1 | CCBL2 | GADL1 | PHYKPL | GAD1 | GPT2 | MOCOS | SDSL | pcap |  | SEPSECS | SPTLC3 | GAD65 | TLH6 | SCLY | IGSF10",""
"Cyanocobalamin  |  Cyanocob(III)alamin | Vitamin B12 | Vitamin B12 complex","MMAA | MTR | MTRR | MUT | MMACHC | MTHFR",""
"Tetrahydrofolic acid  |  (6S)-Tetrahydrofolate | (6S)-Tetrahydrofolic acid | (6S)-THFA | 5,6,7,8-tetrahydrofolate | 5,6,7,8-tetrahydrofolic acid | tetrahydrofolate | Tetrahydrofolic acid | THF","AMT | MTHFD2 | SHMT2 | SHMT1 | MTHFD1 | MTR | FTCD | ALDH1L1 | ATIC |  | MTHFR | MTFMT",""
"L-Histidine  |  (S)-4-(2-Amino-2-carboxyethyl)imidazole | (S)-a-Amino-1H-imidazole-4-propanoic acid | (S)-alpha-amino-1H-Imidazole-4-propanoic acid | (S)-alpha-Amino-1H-imidazole-4-propionic acid | (S)-α-amino-1H-Imidazole-4-propanoic acid | H | His | Histidine | L-(-)-Histidine | L-(−)-histidine | L-Histidin | L-Histidine","HDC | HAL | SLC38A3 | HARS",""
"S-Adenosylmethionine  |  (3S)-5'-[(3-amino-3-Carboxypropyl)methylsulfonio]-5'-deoxyadenosine, inner salt | [1-(Adenin-9-yl)-1,5-dideoxy-beta-D-ribofuranos-5-yl][(3S)-3-amino-3-carboxypropyl](methyl)sulfonium | Acylcarnitine | AdoMet | S-(5'-Deoxyadenosin-5'-yl)-L-methionine | S-adenosyl-L-methionine | S-Adenosylmethionine | SAM | SAMe","AMD1 | MAT2A | CBS | GNMT | MAT1A | COMT",""
"Pyruvic acid  |  2-ketopropionic acid | 2-Oxopropanoic acid | 2-Oxopropansaeure | 2-Oxopropionsaeure | a-Ketopropionic acid | Acetylformic acid | Acide pyruvique | alpha-Ketopropionic acid | alpha-Oxopropionsaeure | Brenztraubensaeure | BTS | CH3COCOOH | Pyroracemic acid | Pyruvic acid | α-ketopropionic acid","PKLR | PKM | PDHB | AGXT2 | SLC16A6 | SLC16A2 | SLC16A4 | ABAT | SLC16A8 | SLC16A5 | SLC16A7 | SLC16A3 | SLC16A1 | PC",""
"L-Phenylalanine  |  (S)-2-Amino-3-phenylpropionic acid | (S)-alpha-Amino-beta-phenylpropionic acid | 3-phenyl-L-alanine | beta-Phenyl-L-alanine | F | Phe | Phenylalanine | β-phenyl-L-alanine","FARS2 | FARSA | FARSB | TH | TAT | PAH | SLC7A8",""
"Biotin  |  (+)-cis-Hexahydro-2-oxo-1H-thieno[3,4]imidazole-4-valeric acid | (3AS,4S,6ar)-hexahydro-2-oxo-1H-thieno[3,4-D]imidazole-4-valeric acid | 5-(2-Oxohexahydro-1H-thieno[3,4-D]imidazol-4-yl)pentanoic acid | Biotin | Biotina | Biotine | Biotinum | cis-(+)-Tetrahydro-2-oxothieno[3,4]imidazoline-4-valeric acid | cis-Hexahydro-2-oxo-1H-thieno(3,4)imidazole-4-valeric acid | cis-Tetrahydro-2-oxothieno(3,4-D)imidazoline-4-valeric acid | Coenzyme R | D-(+)-Biotin | D-Biotin | D(+)-Biotin | Vitamin B7 | Vitamin H","MCCC2 | SLC5A6 | HLCS | MCCC1 | PCCA | PCCB | ACACA | PC | ACACB",""
"Choline  |  Bilineurine | Choline | Choline ion | N-trimethylethanolamine | N,N,N-trimethylethanol-ammonium | trimethylethanolamine","ACHE | PCYT1B | PCYT1A | PLD2 | BCHE | PLD1 | PHOSPHO1",""
"L-Lysine  |  (S)-2,6-diaminohexanoic acid | (S)-lysine | (S)-α,ε-diaminocaproic acid | 6-ammonio-L-norleucine | L-2,6-Diaminocaproic acid | L-lys | L-Lysin | LYS | Lysina | Lysine | Lysine acid | Lysinum","SLC7A4 | SLC7A3 | KARS | SLC7A1 | SLC7A2",""
"L-Arginine  |  (2S)-2-amino-5-(Carbamimidamido)pentanoic acid | (2S)-2-amino-5-Guanidinopentanoic acid | (S)-2-amino-5-guanidinopentanoic acid | (S)-2-Amino-5-guanidinovaleric acid | Arg | Arginine | L-(+)-Arginine | L-Arg | L-Arginin | L-Arginine | R","NOS2 | SLC7A4 | SLC7A3 | SLC7A1 | NOS3 | AZIN2 | ASL | ASS1 | ARG2",""
"Vitamin C  |  acide ascorbique | ácido ascórbico | acidum ascorbicum | acidum ascorbinicum | Ascorbate | Ascorbic Acid | Ascorbicap | Ascorbinsäure | L-(+)-ascorbic acid | L-Ascorbate | L-Ascorbic Acid","P4HA1 | PLOD1 | DBH | SLC23A1 | xylA |  | PHYH | PLOD2 | PLOD3 | BBOX1 | PAM | P3H1 | OGFOD2 | ALKBH2 | P3H2 | P3H3 | OGFOD1 | EGLN2 | ALKBH3 | KDM5D | EGLN1 | EGLN3 | TMLHE | P4HTM | LCT","other"
"Spermine  |  4,9-Diaza-1,12-dodecanediamine | 4,9-Diazadodecane-1,12-diamine | N,N'-Bis(3-aminopropyl)-1,4-butanediamine | Spermine","ODC1 | SMOX | SMS",""
"L-Aspartic Acid  |  (S)-2-aminobutanedioic acid | (S)-2-aminosuccinic acid | 2-Aminosuccinic acid | Asp | Aspartic acid | D | L-Asp | L-Asparaginsaeure | L-Asparaginsäure | L-Aspartate | L-Aspartic acid","ASPA | ASNS | SLC25A12 | SLC25A13 | GOT2 | ACY1 | ASPH | GOT1 | ASS1 | DARS | ASS | SLC1A1 | GIG18 | PAICS | CAD | ADSS | DARS2 | ASRGL1 | ADSSL1 | ACY3 | RNASE1 | LYZ",""
"L-Ornithine  |  (S)-2,5-Diaminopentanoate | (S)-2,5-Diaminopentanoic acid | (S)-2,5-diaminovaleric acid | (S)-alpha,delta-Diaminovaleric acid | (S)-ornithine | (S)-α,δ-diaminovaleric acid | L-Ornithine","SLC7A4 | SLC7A3 | SLC25A15 | SLC7A1 | SLC25A2 | ARG1 | OTC | GATM | OAZ1 | OAT | SLC7A2 | ARG2 | OAZ2 | OAZ3",""
"L-Glutamine  |  (2S)-2-amino-4-carbamoylbutanoic acid | (2S)-2,5-Diamino-5-oxopentanoic acid | (S)-2,5-diamino-5-oxopentanoic acid | Glutamic acid 5-amide | Glutamic acid amide | GLUTAMINE | L-(+)-glutamine | L-2-aminoglutaramic acid | L-Glutamic acid gamma-amide | L-glutamic acid γ-amide | L-Glutamin | L-Glutamine | L-Glutaminsaeure-5-amid | L-Glutaminsäure-5-amid | Levoglutamide | Q","PPAT | CTPS1 | GLUL",""
"Adenosine monophosphate  |  5'-Adenosine monophosphate | 5'-Adenylic acid | 5'-AMP | 5'-O-Phosphonoadenosine | Adenosine 5'-(dihydrogen phosphate) | Adenosine 5'-monophosphate | Adenosine 5'-phosphate | ADENOSINE monophosphate | Adenosine phosphate | Adenosine-5'-Monophosphate | Adenosine-5'-monophosphoric acid | Adenosine-5'p | Adenosini phosphas | Adenylate | Adenylic acid | Ado5'p | AMP | Fosfato de adenosina | PAdo | Phosaden | Phosphaden | Phosphate d'adenosine","PYGL | PRKAB1 | ADCY1 | ACSS2 | PDE4B | ACSL1 | PRKAA1 | ACSS1 | PRKAB2 | CREB1 | PIM1 | PDE4D | HINT1 | FBP1 | ADK",""
"Alpha-Linolenic Acid  |  (9,12,15)-linolenic acid | (9Z,12Z,15Z)-Octadecatrienoic acid | (Z,Z,Z)-9,12,15-octadecatrienoic acid | 9-cis,12-cis,15-cis-octadecatrienoic acid | 9,12,15-Octadecatrienoic acid | ALA | all-cis-9,12,15-Octadecatrienoic acid | alpha-Linolenic acid | cis-delta(9,12,15)-Octadecatrienoic acid | cis,cis,cis-9,12,15-Octadecatrienoic acid | Linolenic acid | α-linolenic acid","FADS1 | SLC8A1 | TRPV1 | FADS2 | ELOVL4",""
"L-Serine  |  (2S)-2-amino-3-Hydroxypropanoic acid | (S)-(-)-Serine | (S)-(−)-serine | (S)-2-Amino-3-hydroxypropanoic acid | (S)-alpha-Amino-beta-hydroxypropionic acid | (S)-Serine | beta-Hydroxy-L-alanine | beta-Hydroxyalanine | L-(-)-Serine | L-(−)-serine | L-2-Amino-3-hydroxypropionic acid | L-3-Hydroxy-2-aminopropionic acid | L-3-Hydroxy-alanine | L-Ser | L-Serin | L-Serine | S | Ser | Serine","SARS | SDS | AGXT | CBS | SRR | SPTLC1 | SPTLC2",""
"L-Methionine  |  (2S)-2-amino-4-(Methylsulfanyl)butanoic acid | (S)-2-amino-4-(methylthio)butanoic acid | (S)-2-amino-4-(methylthio)butyric acid | (S)-methionine | L-(-)-Methionine | L-a-Amino-g-methylthiobutyric acid | L-alpha-amino-gamma-Methylmercaptobutyric acid | L-Methionin | L-Methionine | L-α-amino-γ-methylmercaptobutyric acid | M | Met | Methionine","MTR | MTRR | BHMT | METAP2 | BHMT2",""
