"","x"
"239","Cetuximab, Oxaliplatin, Leucovorin, 5FU, Irinotecan"
"240","FOLFOX 6"
"241","GM-CT-01"
"242","5-Fluorouracil, Leukovorin, bevacizumab"
"243","Anlotinib"
"244","Aroplatin in combination with capecitabine"
"245","Novaferon"
"246","NKTR-102 + Cetuximab"
"247","panitumumab, TAS-102"
"248","Panitumumab+irinotecan"
"249","Capecitabine, Oxaliplatin, Irinotecan, Bevacizumab"
"250","XELOX"
"251","Cediranib Placebo"
"252","Tivozanib plus FOLFOX6"
"253","Capecitabine plus oxaliplatin"
"254","CY"
"255","GVAX"
"256","SGI-110"
"257","Iressa"
"258","5Fluorouracil"
"259","EMD 525797 250 mg"
"260","EMD 525797 500 mg"
"261","EMD 525797 750 mg"
"262","EMD 525797 1000 mg"
"263","regorafenib"
"264","capecitabine + bevacizumab"
"265","modified FOLFOX6 + bevacizumab"
"266","FOLFOXIRI + Bevacizumab"
"267","Aprepitant / Fosaprepitant"
"268","FOFLOX4"
"269","Oxaliplatin + Fluorouracil + folinic acid"
"270","Vismodegib 150 mg"
"271","Placebo to vismodegib"
"272","Modified FOLFOX"
"273","LGX818"
"274","BYL719"
"275","Cyclosporine"
"276","Selumetinib"
"277","OXCE"
"278","Endostar"
"279","5-Fluorouracile"
"280","leucovorin L"
"281","Recombinant full human Anti-EGFR Monoclonal Antibody"
"282","TS-1, oxaliplatin"
"283","FOLFOX regimen"
"284","Sorafenib and irinotecan combination"
"285","Sorafenib monotherapy"
"286","Irinotecan monotherapy"
"287","Cetuximab + Afatinib"
"288","5-fluorouracil,leucovorin,panitumumab"
"289","Oxaliplatin, 5-fluorouracil,leucovorin,panitumumab"
"290","oxaliplatin, levofolinate calcium, 5-FU, panitumumab"
"291","oxaliplatin, levofolinate calcium, 5-FU, bevacizumab"
"292","mFOLFOX-6 + cetuximab until disease progression or early withdrawal."
"293","8 cycles of mFOLFOX-6 + cetuximab, followed by cetuximab alone until disease progression or early withdrawal."
"294","cetuximab 5mg/ml"
"295","Vitamin D"
"296","DEBIRI"
"297","HIA DEBIRI + systemic FOLFOX"
"298","Tetrathiomolybdate"
"299","Gefitinib and capecitabine"
"300","Acetylsalicylic acid/aspirin 200 mg daily"
"301","Acetylsalicylic acid/aspirin 100 mg daily"
"302","Acetylsalicylic acid"
"303","Entecavir"
"304","vitamin D repletion with Cholecalciferol"
"305","dalotuzumab"
"306","combination panitumumab and vemurafenib"
"307","Robatumumab"
"308","CAPEOX/XELOX"
"309","Eicosapentaenoic acid free fatty acid"
"310","IMC-11F8"
"311","ISIS 2503"
"312","SIR-spheres Agent Administration"
"313","ABT-751"
"314","Napabucasin"
"315","monoclonal antibody 11D10 anti-idiotype"
"316","monoclonal antibody 3H1 Alu Gel"
"317","chemotherapy of mFOLFOX6 or FOLFIRI"
"318","Tegafur-uracil"
"319","Calcium folinate"
"320","sunitinib + mFOLFOX6"
"321","Gene Modified T Cells"
"322","Ramucirumab"
"323","Folinic Acid"
"324","5 FU"
"325","Folfox4 plus recombinant human endostatin"
"326","5 fluorouracil"
"327","levo- leucovorin"
"328","sunitinib"
"329","Pembrolizumab"
"330","5FU+l-leucovorin"
"331","UFT+Leucovorin"
"332","ABI-007"
"333","Irinotecan Hydrochloride"
"334","Leucovorin Calcium"
"335","Atezolizumab"
"336","Apatinib and XELOX combined treatment group"
"337","recombinant human endostatin"
"338","trastuzumab"
"339","leucovorin calcium"
"340","isosulfan blue"
"341","MEDI6469"
"342","Pre-emptive Skin Treatment"
"343","Reactive Skin Treatment"
"344","Clobetasol Propionate"
"345","Tivantinib"
"346","Heparin, Low-Molecular-Weight"
"347","NPC-1C/NEO-102"
"348","XELODA"
"349","TEGAFUR URACIL - FOLINIC ACID"
"350","chemotherapy ± targeted therapy"
"351","irinotecan, capecitabine, oxaliplatin and bevacizumab"
"352","Talaporfin sodium"
"353","FOLFOX4 regimen"
"354","Chemokine modulatory regimen"
"355","PELITREXOL/AG-2037"
"356","Conatumumab"
"357","Oxaliplatin Based Chemotherapy"
"358","Irinotecan Based Chemotherapy"
"359","5-Fluorouracil, Folic acid, Capecitabine; Bevacizumab"
"360","PHY906"
"361","CPX-1 Liposome Injection"
"362","CBP/beta-catenin Antagonist PRI-724"
"363","ribociclib"
"364","Trametinib"
"365","TAS-102 and Bevacizumab"
"366","Veliparib"
"367","Systemic chemotherapy"
"368","folic acid"
"369","folic acid calcium vitamin D3"
"370","calcium"
"371","Cytokine-Induced Killer Cells"
"372","AMG 479"
"373","Imatinib mesylate followed by a combination of imatinib mesylate & panitumumab"
"374","Standard-of-care treatment with panitumumab"
"375","Irinotecan, Capecitabine"
"376","avastin+chemotherapy of mFOLFOX6 or FOLFIRI"
"377","Cetuximab + Oxaliplatin + 5FU/FA"
"378","Oxaliplatin + 5FU/FA"
"379","DC vaccination"
"380","ISIS 183750"
"381","irinotécan"
"382","FOLFOX6m"
"383","IMC-1121B"
"384","OS"
"385","Safety and efficacy of escalating doses"
"386","Safety and efficacy of escalating doses."
"387","Andrographolides"
"388","Darbepoetin Alfa"
"389","CEA pulsed dendritic cells"
"390","Dose escalation of cetuximab"
"391","Standard first line treatment with cetuximab + Folfiri"
"392","Two Anti-angiogenesis Drugs（Endostar and Thalidomide）"
"393","Pure chemotherapy（Xelox）"
"394","capiri-sutent"
"395","FUFA"
"396","systemic chemotherapy"
"397","aflibercept"
"398","Axitinib"
"399","floxuridine"
"400","GM-CT-01 plus 5-Fluorouracil"
"401","sunitinib added to FOLFIRI"
"402","AlloStim"
"403","Simvastatin"
"404","ZD6474"
"405","CPT-11 and TS-1"
"406","CPT-11, 5-FU and l-LV"
"407","Dendritic Cell Vaccine"
"408","semaxanib"
"409","FOLFOX-4+cetuximab"
"410","FOLFOX-4"
"411","pazopanib"
"412","Oxaliplatin, Capecitabine, Bevacizumab, Imatinib"
"413","TF2/IMP288"
"414","Metformin"
"415","NK012 and 5-FU"
"416","XELOXA"
"417","XELOXA-A"
"418","Apatinib"
"419","apatinib"
"420","Temsirolimus"
"421","Tivozanib"
"422","adjuvant HIPEC"
"423","Doxycycline"
"424","chemotherapy"
"425","sorafenib"
"426","mFOLFOX6 regimen"
"427","CAPECITABINE, CELECOXIB and METHOTREXATE"
"428","Artesunate 200mg"
"429","Paclitaxel Poliglumex"
"430","Arm A : Gemcitabine + Pemetrexed"
"431","WNT974"
"432","Plerixafor"
"433","celecoxib"
"434","5-Fluorouracil, Leucovorin"
"435","thalidomide"
"436","Maintenance:BEVACIZUMAB"
"437","Maintenance:BEVACIZUMAB+CAPECITABINE+CYCLOPHOSPHAMIDE"
"438","raltitrexed"
"439","ANAKINRA"
"440","Sorafenib"
"441","Oxaliplatin or Irinotecan"
"442","IMC-A12"
"443","Modufolin"
"444","rofecoxib"
"445","ursodiol"
"446","vemurafenib"
"447","Erlotinib"
"448","GM-K562 cell vaccine"
"449","allogeneic tumor cell vaccine"
"450","cyclophosphamide"
"451","dexamethasone"
"452","FOLFOX + bevacizumab"
"453","erlotinib hydrochloride"
"454","zibotentan"
"455","Floxuridine"
"456","Randomization to No Panitumumab"
"457","cetuximab/irinotecan/simvastatin"
"458","Maintenance Chemotherapy"
"459","Fragmin, 5-Fluorouracil, Folinic Acid, irinotecan, bevacizumab"
"460","SRT501"
"461","ramucirumab"
"462","IXO regimen + bevacizumab"
"463","MK-0646"
"464","filgrastim"
"465","melphalan"
"466","Xelox or Xeliri Bevacizumab"
"467","Metformin/Placebo"
"468","mFOLFOX6 + BIBF 1120"
"469","mFOLFOX6+placebo"
"470","FOLFOXIRI + Panitumumab"
"471","recombinant interferon alfa"
"472","levamisole hydrochloride"
"473","AFLIBERCEPT AVE0005"
"474","XL999"
"475","Pacritinib"
"476","recombinant flt3 ligand"
"477","Huaier Granule"
"478","l-Leucovorin"
"479","S-1 plus LV"
"480","capecitabine and oxaliplatin + cetuximab"
"481","capecitabine and oxaliplatin"
"482","FOLFIRI 1-Bevacizumab"
"483","liposome-encapsulated irinotecan hydrochloride PEP02"
"484","R115777"
"485","gemcitabine hydrochloride"
"486","Indomethacin, celecoxib, esomeprazole"
"487","Sorafenib Plus Capecitabine"
"488","SB injection"
"489","bortezomib"
"490","irinotecan, capecitabine"
"491","G17DT"
"492","Oral CC - 486"
"493","Romidepsin"
"494","MK - 3475"
"495","AFLIBERCEPT"
"496","chloroquinoxaline sulfonamide"
"497","becatecarin"
"498","Cabazitaxel"
"499","Trifluridine/tipiracil hydrochloride"
"500","SN-38 liposome"
"501","Irofulven"
"502","Erythromycin"
"503","Vorinostat"
"504","Hydroxychloroquine"
"505","SarCNU"
"506","Administration of high dose simplified folfiri"
"507","cyclosporine"
"508","Xeloda"
"509","VXM01"
"510","Antibody TF2"
"511","90-Y-IMP-288"
"512","111-In-IMP-288"
"513","Ursodiol"
"514","cetuximab and savolitinib"
"515","FOLFOX induction regimen"
"516","MPDL3280A [TECENTRIQ]"
"517","Vemurafenib"
"518","Irinotecan high doses"
"519","Irinotecan standard doses"
"520","Suberoylanilide hydroxamic acid"
"521","tegafur-uracil"
"522","CY-503"
"523","trimetrexate glucuronate"
"524","ethynyluracil"
"525","brivudine phosphoramidate"
"526","Panitumumab + FOLFIRI"
"527","Irinotecan hydrochloride hydrate"
"528","Continuous intravenous infusion of fluorouracil"
"529","Levofolinate calcium"
"530","S-1, Bevacizumab"
"531","bevacizumab, oxaliplatin and 5FU combination"
"532","Bevacizumab, oxaliplatin and raltitrexed combination"
"533","irofulven"
"534","capecitabine [Xeloda]"
"535","SOL"
"536","Perifosine"
"537","S-1, Irinotecan, Bevacizumab"
"538","gefitinib"
"539","Thalidomide"
"540","BNC101 Solution for Infusion"
"541","BNC101 in combination with FOLFIRI"
"542","Comparator: cetuximab"
"543","Comparator: irinotecan"
"544","etaracizumab"
"545","eniluracil"
"546","aldesleukin"
"547","ras peptide cancer vaccine"
"548","OSI-7904L"
"549","bevacizumab [Avastin]"
"550","onartuzumab [MetMAb]"
"551","Dovitinib"
"552","Donafenib"
"553","rubitecan"
"554","Irinotecan 70 mg/m2"
"555","Irinotecan 240 mg/m2"
"556","HER-2-neu, CEA peptides, GM-CSF, Montanide ISA-51 vaccine"
"557","adenovirus vector"
"558","interleukin-12 gene"
"559","FOLFOXIRI plus bevacizumab"
"560","Desmopressin"
"561","OMP-21M18"
"562","tetwtCEA DNA"
"563","GM-CSF"
"564","pemetrexed"
"565","GM1"
"566","mFOLFOX6 or XELOX"
"567","Leucovorin calcium"
"568","CT-322"
"569","Bevacizumab Placebo"
"570","Nexavar and irinotecan"
"571","oblimersen sodium"
"572","Capecitabine, Oxaliplatin"
"573","5-fluorouracil/leucovorin"
"574","loperamide hydrochloride"
"575","octreotide acetate"
"576","Oxaliplatin, 5FU/LV, Bevacizumab"
"577","5FU/LV, Oxaliplatin, Bevacizumab, Irinotecan"
"578","Urelumab"
"579","5 Fluorouracil"
"580","Imprime PGG"
"581","edrecolomab"
"582","sargramostim"
"583","romidepsin"
"584","Concomitant Bevacizumab"
"585","folinic acid"
"586","MK0457, VX-680"
"587","Mitomycin C; Capecitabine; Bevacizumab"
"588","CS7017"
"589","irinotecan, leucovorin, and 5-fluorouracil"
"590","AZD1775"
"591","calcium aluminosilicate anti-diarrheal"
"592","NGR-hTNF"
"593","Mycobacterium obuense"
"594","INC280"
"595","aflibercept + FOLFIRI"
"596","isolated perfusion"
"597","eloxatin"
"598","erlotinib [Tarceva]"
"599","Panitumumab + FOLFOX"
"600","sodium phenylbutyrate"
"601","indomethacin"
"602","recombinant interferon gamma"
"603","simvastatin"
"604","Vandetanib"
"605","cediranib maleate"
"606","Aflibercept-FOLFIRI"
"607","ABT-869"
"608","bevacizumab, erlotinib"
"609","RO5083945"
"610","Anti-EGFR-Containing Regimen"
"611","Bevacizumab-containing regimen"
"612","cisplatin"
"613","tegafur-gimeracil-oteracil potassium"
"614","THALIDOMIDE and UFUR"
"615","BAX69 + infusional 5-FU/LV"
"616","BAX69 + panitumumab"
"617","BAX69 + 5-FU/LV"
"618","Standard of Care"
"619","REOLYSIN®"
"620","Pexidartinib"
"621","Durvalumab"
"622","Oxaliplatin 130 mg/m^2"
"623","Capecitabine 1000 mg/m^2"
"624","Bevacizumab 7.5 mg/kg"
"625","Placebo for bevacizumab 7.5 mg/kg"
"626","Oxaliplatin 85 mg/m^2"
"627","Leucovorin 200 mg/m^2"
"628","Fluorouracil 400 mg/m^2"
"629","Bevacizumab 5 mg/kg"
"630","Placebo for bevacizumab 5 mg/kg"
"631","5-FU based doublet chemotherapy"
"632","fluorouracil/irinotecan/levo-folinic acid/bevacizumab"
"633","PRO95780"
"634","XELOX regimen according to standard procedures"
"635","FOLFOX regimen according to standard procedures"
"636","Bevacizumab, mFOLFOX, FOLFIRI"
"637","EKB-569"
"638","capecitabine-irinotecan"
"639","capecitabine+irinotecan"
"640","neo-adjuvant treatment with bevacizumab"
"641","neoadjuvant treatment with capecitabine and oxaliplatin"
"642","neo-adjuvant treatment with bevacizumab, capecitabine and oxaliplatin"
"643","RAD001, Cetuximab, Irinotecan"
"644","RO5520985"
"645","Placebo Cediranib"
"646","Aprepitant+Tropisetron"
"647","Dexamethasone+Tropisetron"
"648","capecitabine and cetuximab"
"649","Sevacizumab"
"650","MEGF0444A"
"651","carboplatin"
"652","paclitaxel"
"653","other intravenous chemotherapy drugs"
"654","bevacizumab plus chemotherapy"
"655","TOMOX"
"656","αDC1 vaccine"
"657","CKM"
"658","PledOx"
"659","Gemcitabine and UFTE chemotherapy"
"660","aprepitant"
"661","palonosetron hydrochloride"
"662","Aflibercept AVE0005"
"663","sunitinib and capecitabine"
"664","Vitamin C"
"665","JX-594"
"666","FerInject"
"667","Ferro sanol"
"668","Arm A: FOLFIRI or FOLFOX + Bevacizumab"
"669","Arm B: FOLFIRI or FOLFOX"
"670","Arm D: FOLFIRI or FOLFOX plus CETUXIMAB"
"671","Arm F: FOLFIRI or FOLFOX plus BEVACIZUMAB and CETUXIMAB"
"672","MGD007"
"673","Chemotherapy- scheme"
"674","AZD8931"
"675","fluoropyrimidine-based chemotherapy"
"676","chemotherapy plus bevacizumab"
"677","monosialotetrahexosylganglioside Sodium"
"678","Floxuridine,Dexamethasone, Heparin in combination with Oxaliplatin and Capecitabine or in combination with Oxaliplatin and Leucovorin and 5-FU"
"679","Oxaliplatin and Capecitabine or Oxaliplatin and Leucovorin and 5-FU"
"680","Peptide Vaccine"
"681","l-leucovorin"
"682","Simethicone"
"683","sodium sulfate/potassium sulfate/magnesium sulfate solution"
"684","alisertib"
"685","eflornithine plus sulindac"
"686","Gemcitabine/S-1"
"687","ZD1839"
"688","enzastaurin"
"689","Vatalanib"
"690","Levocetirizine"
"691","L-OHP"
"692","l-LV"
"693","BIBW 2992"
"694","111In-CS-1008, CS-1008"
"695","ZD6126"
"696","Nutriall"
"697","LDEPA"
"698","HDEPA"
"699","BAY73-4506_Regorafenib"
"700","MelCancerVac"
"701","Minocycline"
"702","HA-Irinotecan"
"703","Folic Acid"
"704","dasatinib"
"705","modifiedFOLFOX6 + Cetuximab"
"706","brivanib alaninate"
"707","E7820 plus cetuximab"
"708","FOLFIRI + bevacizumab"
"709","FOLFIRI + cetuximab"
"710","epothilone b"
"711","lurbinectedin"
"712","Gefitinib, raltitrexed"
"713","Investigational drug"
"714","MGN1703 treatment"
"715","Hyper insulinemic euglycemic clamp"
"716","E. coli Nissle suspension"
"717","Lidocaine"
"718","Normal saline"
"719","131I-huA33"
"720","Fluorouracil + folinic acid"
"721","BMS-247550"
"722","Metronimic chemotherapy plus Chinese Traditional Medicine"
"723","Metronimic chemotherapy"
"724","BIBF 1120"
"725","mFolfox"
"726","mFolfox 6"
"727","monoclonal antibody Hu3S193"
"728","nivolumab"
"729","tocladesine"
"730","Vitamin D3"
"731","Panitumumab and CPT-11"
"732","Recombinant Vaccinia GM-CSF; RAC VAC GM-CSF"
"733","oxaliplatin and raltitrexed"
"734","BIBH 1"
"735","Dabrafenib"
"736","Eicosapentanoic acid and docosahexanoic acid"
"737","Oleic Acid"
"738","re-activated T cells"
"739","MKC-1"
"740","SOX"
"741","monoclonal antibody A33"
"742","carmustine"
"743","streptozocin"
"744","vincristine sulfate"
"745","SCH 66336"
"746","epothilone D"
"747","SU011248"
"748","lymphokine-activated killer cells"
"749","AG-013726"
"750","AG-013736"
"751","FOLFOX6 cycles 1-3"
"752","FOLFOX6 cycles 4 onwards"
"753","Bevacizumab cycles 3 onwards"
"754","Capecitabine and Cetuximab"
"755","falimarev"
"756","inalimarev"
"757","therapeutic autologous dendritic cells"
"758","Nindetanib"
"759","BSC"
"760","RENCA macrobeads"
"761","Oxaliplatin , Capecitabine"
"762","Normal saline , Paclitaxel , 5-Fu"
"763","5- Fluorouracil"
"764","CoFactor"
"765","therapeutic autologous lymphocytes"
"766","Arsenic trioxide"
"767","1018 ISS immunostimulatory oligonucleotide"
"768","Selinexor"
"769","XELOX regimen"
"770","hydroxychloroquine"
"771","Oxaliplatin, Capecitabine, Panitumumab"
"772","Oxaliplatin, Capecitabine"
"773","NV1020"
"774","Fluorouracile"
"775","AVE0005"
"776","metformin"
"777","control"
"778","Oxaliplatin intravenous"
"779","5 Fu"
"780","Oxaliplatin intra-arteriel"
"781","Melphalan"
"782","RRx-001"
"783","Autologous tumor cell + CpG vaccine"
"784","G17DT-Irinotecan"
"785","TSB-9-W1"
"786","MK-2206"
"787","AUY922"
"788","O6-benzylguanine"
"789","KD018"
"790","probiotics"
"791","FOLFOX6"
"792","Sorafenib + mFOLFOX6"
"793","Matching placebo + mFOLFOX6"
"794","Ad-P53"
"795","Dendritic cells vaccine"
"796","AMT2003"
"797","PF-02341066"
"798","PD-0325901"
"799","Binimetinib"
"800","Irinotecan hydrochloride"
"801","CB-839"
"802","4SC-201"
"803","CAPOX + bevacizumab"
"804","CAPOX"
"805","levo-folinic acid"
"806","Amifostine"
"807","Omeprazole"
"808","TAS-109"
"809","Gamma-Interferon-1b"
"810","Folfox plus Bevacizumab and reolysin"
"811","Folfox plus Bevacizumab"
"812","metformin hydrochloride"
"813","Irinotecan 165 mg/m2 iv"
"814","Oxaliplatin 85 mg/m2 iv"
"815","Calcium folinate 200 mg/m2 iv"
"816","5-fluorouracil 3200 mg/m2"
"817","RNF43-721"
"818","5-FU Bolus"
"819","5-FU Infusion"
"820","Dose escalation cetuximab"
"821","Standard dose cetuximab"
"822","AlloStim®"
"823","CS-7017"
"824","neoadjuvant chemotherapy with oxaliplatin and capecitabine"
"825","Combination therapy of irinotecan with 5-FU, leucovorin plus bevacizumab in the neoadjuvant setting."
"826","FOLFOX4, Cetuximab"
"827","VEGFR1 and VEGFR2"
"828","RNF43, TOMM34, VEGFR1 and VEGFR2"
"829","BMS-908662"
"830","first-line chemotherapy"
"831","Eflornithine placebo & sulindac placebo"
"832","eflornithine & sulindac placebo"
"833","Eflornithine placebo & sulindac"
"834","Eflornithine plus sulindac"
"835","MGN1703"
"836","regorafenib + panitumumab"
"837","avastin"
"838","5FU/folinic acid"
"839","Olaparib"
"840","FOLIRI"
"841","FOLIRI plus E7820"
"842","FOLFIRI plus Bevacizumab"
"843","AMG386 and bevacizumab"
"844","systemic chemotherapy LV5FU2"
"845","intensified chemotherapy"
"846","MEHD7945A"
"847","Sunitinib"
"848","Temozolomide"
"849","FOLFIRI, Avastin, Irinotecan"
"850","aflibercept AVE0005"
"851","Oxaliplatin SR96669"
"852","dulanermin"
"853","5-fluoro-uracil"
"854","indocyanine green"
"855","Probiotic"
"856","placebo（for probiotic）"
"857","MEK162 and FOLFIRI"
"858","CS-1008"
"859","Mesalamine 1600 mg QD"
"860","Mesalamine 3200 mg QD"
"861","PANVAC-V"
"862","PANVAC-F"
"863","Sargramostim"
"864","gut microbiota"
"865","Pegfilgrastim"
"866","Standard Chemotherapy"
"867","AV-951"
"868","Masitinib"
"869","OXALIPLATIN"
"870","LEUCOVORIN"
"871","BEVACIZUMAB"
"872","oglufanide disodium"
"873","Oral complex C3 curcumin + chemotherapy"
"874","Chemotherapy only"
"875","linaclotide acetate"
"876","aspirin"
"877","Systemic treatment"
"878","Magnesium Sulfate"
"879","Gamma-Secretase Inhibitor RO4929097"
"880","5-Fluorouracil, leucovorin, oxaliplatin, avastin"
"881","PX-866"
"882","MOC31PE Immunotoxin"
"883","MITOMYCIN-C 40 mg"
"884","nitric oxide-releasing acetylsalicylic acid derivative"
"885","FOLFOX or"
"886","ALIMTA"
"887","Chemotherapy + bevacizumab"
"888","bovine lactoferrin"
"889","Nintedanib"
"890","LV5FU2"
"891","MEK162"
"892","Eflornithine"
"893","BCG vaccine"
"894","monoclonal antibody 105AD7 anti-idiotype vaccine"
"895","alum adjuvant"
"896","Naproxen"
"897","Floxuridine, Oxaliplatin, CPT-11"
