"Rank","NCT Number","Title","Recruitment","Study Results","Conditions","Interventions","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Types","Study Designs","Other IDs","First Received","Start Date","Completion Date","Last Updated","Last Verified","Results First Received","Acronym","Primary Completion Date","Outcome Measures","URL"
11,"NCT00265720","Colorectal Cancer Screening Intervention Trial","Completed","No Results Available","Colorectal Cancer|Colorectal Cancer Screening","Other: Control|Other: Reduced out of pocket expense|Behavioral: one on one education|Behavioral: Group education","Morehouse School of Medicine|Centers for Disease Control and Prevention","Both","50 Years and older   (Adult, Senior)","","360","Other|U.S. Fed","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Factorial Assignment|Masking: Open Label","H57/CCH420680-05","December 13, 2005","March 2003","July 2007","February 3, 2009","February 2009","No Study Results Posted","null","July 2007","Colorectal Cancer Screening Rate; This measurement(Impact) is taken 90 days from last intervention session. If a person is not screened, an additional measurement(Post-Impact) is taken 90 days from the Impact.|Knowledge, Attitudes and Beliefs; this measurement is taken at baseline and post intervention session. Sessions vary by intervention group after the initial recruitment sessions:","https://ClinicalTrials.gov/show/NCT00265720"
12,"NCT00558233","Effectiveness Study of a Computer-Based Colorectal Cancer Screening Decision Aid","Completed","No Results Available","Colorectal Cancer|Health Literacy","Behavioral: CHOICE decision aid|Behavioral: YourMeds patient education program","Wake Forest University|American Cancer Society, Inc.|University of North Carolina, Chapel Hill|Wake Forest School of Medicine","Both","50 Years to 75 Years   (Adult, Senior)","","350","Other","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Masking: Single Blind (Outcomes Assessor)|Primary Purpose: Health Services Research","CCCDA-05-162-01","November 13, 2007","November 2007","March 2009","April 20, 2010","April 2010","No Study Results Posted","InfoPC","March 2009","Receipt of colorectal cancer screening|Change in participants' readiness to be screened (Stage of Change)|Self-reported intent to discuss colorectal cancer screening with healthcare provider|Provider ordering a colorectal cancer screening test|Participant completion of computer program without assistance|Participant acceptance of computer program|Number of polyps and cancers found by screening tests performed","https://ClinicalTrials.gov/show/NCT00558233"
13,"NCT00927680","Familial Colorectal Cancer Registry in Hispanics","Recruiting","No Results Available","Colorectal Cancer","","University of Puerto Rico|National Cancer Institute (NCI)","Both","15 Years and older   (Child, Adult, Senior)","","5000","Other|NIH","Observational","Observational Model: Family-Based|Time Perspective: Prospective","R03CA130034-NCI","June 24, 2009","July 2007","January 2021","May 10, 2016","May 2016","No Study Results Posted","PURIFICAR","December 2020","We will recruit individuals with colorectal cancer with and without family history of CRC and their immediate family members and obtain the following: paraffin-embedded tumors blocks, blood samples, risk factor and food frequency questionnaires.|We will study the following parameters that we help us plan the larger population-based study such as: response rate of probands and their selected relatives, response rate of participants (probands and relatives), etcetera.","https://ClinicalTrials.gov/show/NCT00927680"
14,"NCT00906997","Colorectal Cancer Screening in Average-risk Population: Immunochemical Fecal Occult Blood Testing Versus Colonoscopy","Active, not recruiting","No Results Available","Colorectal Cancer|Colorectal Neoplasm","Procedure: Immunochemical fecal occult blood test|Procedure: Colonoscopy","Hospital Clinic of Barcelona|Grupo Cooperativo para el Cribado del Cancer Colorrectal en España.|Gastrointestinal Oncology Group of the Spanish Gastroenterological Association|Fundacion Cientifica de la Asociacion Española contra el Cancer|Instituto de Salud Carlos III","Both","50 Years to 69 Years   (Adult, Senior)","Phase 3","55498","Other","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Screening","COLONPREV","May 19, 2009","November 2008","November 2021","March 31, 2015","March 2015","No Study Results Posted","null","November 2021","Colorectal cancer-related mortality|Compliance rate|Complication rate|Colorectal cancer incidence|Adherence rate|Advanced colorectal neoplasm detection rate","https://ClinicalTrials.gov/show/NCT00906997"
15,"NCT01972503","Intraoperative Intraportal Chemotherapy Combined With Adjuvant Chemotherapy for Stage II and III Colorectal Cancer","Recruiting","No Results Available","Colorectal Neoplasms|Neoplasm Metastasis|Liver Neoplasms","Drug: 5-FU and oxaliplatin|Procedure: colorectal cancer resection+ adjuvant chemotherapy (mFOLFOX6)","Xu jianmin|Fudan University","Both","18 Years to 75 Years   (Adult, Senior)","Phase 4","300","Other","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Single Blind (Subject)|Primary Purpose: Treatment","Octree Study","September 23, 2013","June 2008","September 2015","December 10, 2013","December 2013","No Study Results Posted","null","September 2013","3 years disease-free survival|3 years overall survival and metastasis-free survival","https://ClinicalTrials.gov/show/NCT01972503"
16,"NCT02368236","Facilitating Risk-Appropriate Colorectal Cancer Testing - Testing the Cancer Risk Intake System (CRIS)","Active, not recruiting","No Results Available","Colorectal Neoplasms|Colonic Neoplasms","Behavioral: Tailored Printout","University of Texas Southwestern Medical Center|National Cancer Institute (NCI)","Both","25 Years to 75 Years   (Adult, Senior)","","1012","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double Blind (Subject, Caregiver)|Primary Purpose: Screening","112010-132|R01CA122330","January 28, 2015","December 2008","null","April 11, 2016","April 2016","No Study Results Posted","null","February 2012","Participation in risk-appropriate colorectal cancer testing (i.e., participation in any CRIS-recommended test based on patients' risk factors).|Participation in any type of colorectal cancer testing.|Testing difference in receipt of any type of colorectal cancer testing.","https://ClinicalTrials.gov/show/NCT02368236"
17,"NCT02503969","Exploratory Analysis on the Impact of Morbidities on Colorectal Cancer Screening Uptake","Completed","No Results Available","Colorectal Cancer","Other: Exposure to having a long-term condition.","University of Sheffield","Both","60 Years to 69 Years   (Adult, Senior)","","8776","Other","Observational","Observational Model: Case Control|Time Perspective: Cross-Sectional","15/YH/0028","July 16, 2015","September 2015","December 2015","December 1, 2015","December 2015","No Study Results Posted","null","December 2015","Individual attended colorectal cancer screening|Individual accepted colorectal cancer screening after refusing the initial invitation for colorectal cancer screening","https://ClinicalTrials.gov/show/NCT02503969"
18,"NCT00786747","Randomized Controlled Trial of Tailored Interactive Multimedia to Reduce Colorectal Cancer Screening Disparities","Completed","No Results Available","Colorectal Neoplasms","Behavioral: Personally tailored computer program|Behavioral: Non-tailored control computer program","University of California, Davis|University of Rochester|City University of New York, School of Public Health","Both","50 Years to 75 Years   (Adult, Senior)","","1164","Other","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Masking: Double Blind (Subject, Investigator, Outcomes Assessor)|Primary Purpose: Screening","NCI -1R01CA131386-01A1|ARRA CA13138602S1","November 5, 2008","February 2010","November 2012","December 2, 2015","December 2015","No Study Results Posted","null","October 2011","Up to date colorectal cancer screening status|Up to date colonoscopy screening status|Up to date fecal occult blood testing status|Colorectal cancer screening self-efficacy|Perceived barriers to colorectal cancer screening|Readiness to undergo colorectal cancer screening","https://ClinicalTrials.gov/show/NCT00786747"
19,"NCT00965965","Comprehensibility of Colorectal Cancer Screening Educational Materials: Effects on Patient Knowledge and Motivation","Completed","No Results Available","Colorectal Neoplasms","Behavioral: New colorectal cancer screening patient education document|Behavioral: Traditional colorectal cancer screening education document","University of California, Davis|California Academy of Family Physicians","Both","50 Years to 75 Years   (Adult, Senior)","","60","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double Blind (Investigator, Outcomes Assessor)|Primary Purpose: Health Services Research","200917361-1","August 20, 2009","August 2009","April 2010","April 26, 2012","April 2012","No Study Results Posted","null","April 2010","Comprehension of randomly assigned educational document|Colorectal cancer screening knowledge|Self-efficacy for undergoing colorectal cancer screening|Perceived barriers to undergoing colorectal cancer screening|Readiness to undergo colorectal cancer screening","https://ClinicalTrials.gov/show/NCT00965965"
20,"NCT01085331","MEK Inhibitor MSC1936369B Plus FOLFIRI in Second Line K-Ras Mutated Metastatic Colorectal Cancer (mCRC)","Completed","No Results Available","Metastatic Colorectal Cancer","Drug: Mek Inhibitor MSC1936369B|Drug: Mek Inhibitor MSC1936369B|Drug: Placebo|Drug: FOLFIRI","EMD Serono","Both","18 Years and older   (Adult, Senior)","Phase 1|Phase 2","16","Industry","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","EMR200066_004","March 4, 2010","March 2010","April 2012","April 20, 2015","April 2015","No Study Results Posted","null","April 2012","Part 1 or Safety Run-in Part: To determine the maximum tolerated dose (MTD) and the recommended Phase II dose (RP2D) of MSC1936369B in combination with FOLFIRI as second-line treatment in subjects with K-Ras mutated metastatic colorectal cancer|Part 2 or Phase II Randomized part: To assess the anti-tumor activity of MSC1936369B in combination with with FOLFIRI in subjects with K-Ras mutated metastatic colorectal cancer in terms of Progression-Free survival|Part 1 or Safety Run-in Part: To assess the pharmacokinetics of MSC1936369B and irinotecan|Part 1 or Safety Run-in Part: To explore the anti-tumor activity of MSC1936369B and FOLFIRI in subjects with K-Ras mutated metastatic colorectal cancer|Part 1 or Safety Run-in Part: To explore candidate markers for tumor characteristics and predictive of antitumor activity|Part 1 or Safety Run-in Part: To explore circulating markers in serum|Part 2 or Phase II Randomized part: To determine the safety and tolerability of MSC1936369B and FOLFIRI in subjects with K-Ras mutated metastatic colorectal cancer|Part 2 or Phase II Randomized part: To assess the antitumor activity in terms of response rate, clinical benefit, overall survival, and tile to progression|Part 2 or Phase II Randomized part: To explore candidate markers for tumor characteristics and predictive of antitumor activity|Part 2 or Phase II Randomized part: To explore circulating markers in serum","https://ClinicalTrials.gov/show/NCT01085331"
21,"NCT02727894","Colorectal Cancer Study: Screening v.s. Other Diagnostics","Completed","No Results Available","Colorectal Cancer","","Institute for Clinical and Experimental Medicine|Private practice at Hluboká nad Vltavou|Klaudian Hospital Mladá Boleslav|Masaryk Hospital Rakovník|Brno University Hospital|Medic Kral Ltd.|Chomutov Hospital|T. Bata Hospital Zlín|Military University Hospital, Prague|Frýdek-Místek Hospital|The University Hospital Plzeň|Vitkovice Hospital","Both","Child, Adult, Senior","","276","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","00023001-2015","March 30, 2016","March 2013","January 2016","March 30, 2016","March 2016","No Study Results Posted","CRC","December 2015","Colorectal Cancer Stage (pTNM)|Colorectal Cancer Grade|Colorectal Cancer Resection Margins|Colorectal Cancer Metastatis|Colorectal Cancer Surgery|Colorectal Cancer Paliative Therapy","https://ClinicalTrials.gov/show/NCT02727894"
22,"NCT02535988","Abscopal Effect for Metastatic Colorectal Cancer","Not yet recruiting","No Results Available","Colorectal Cancer|Metastatic Colorectal Cancer|Thymalfasin","Radiation: Radiation therapy|Drug: Thymalfasin","Zhejiang Provincial People’s Hospital","Both","19 Years and older   (Adult, Senior)","Phase 2","29","Other","Interventional","Allocation: Non-Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","ZhejiangPPH","August 26, 2015","September 2015","December 2017","August 28, 2015","August 2015","No Study Results Posted","null","January 2017","The proportion of patients with an abscopal response assessed at 7-8 weeks after the initiation of treatment.|The number of participants with adverse events from the date of enrollment until 2 years from the opening of the study.|The proportion of patients alive with abscopal responses from the date of enrollment until date of death from any cause, assessed up to 2 years from the opening of the study.","https://ClinicalTrials.gov/show/NCT02535988"
23,"NCT01196260","Combination Chemotherapy Treatments in Patients With Colorectal Cancer Stage II and III","Recruiting","No Results Available","Colorectal Cancer","Drug: Capecitabine and Oxaliplatin","State Key Laboratory of Cancer Biology|Tianjin Union Medical Center|Beihua University|Chengdu Medical College|Shanghai Jiao Tong University School of Medicine","Both","18 Years to 90 Years   (Adult, Senior)","Phase 2|Phase 3","8000","Other","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Masking: Double Blind (Investigator, Outcomes Assessor)|Primary Purpose: Treatment","Dake Chu-200401|StateKeyLab","September 3, 2010","January 2004","December 2014","October 10, 2014","October 2014","No Study Results Posted","null","December 2014","To determine the objective response rate of patients with metastatic colorectal cancer received the combination of drugs|To determine the relapse of patients with metastatic colorectal cancer received the combination of drugs|To determine prognosis of patients with metastatic colorectal cancer received the combination of drugs|To evaluate the time to progression of metastatic colorectal cancer after treatment","https://ClinicalTrials.gov/show/NCT01196260"
24,"NCT02238821","Role of the MET Oncogene in Human Colorectal Cancer - A Translational Study","Recruiting","No Results Available","Colorectal Cancer","","Fondazione del Piemonte per l'Oncologia","Both","18 Years to 80 Years   (Adult, Senior)","","60","Other","Observational","Time Perspective: Prospective","MET/colon 06","September 1, 2014","October 2007","December 2016","August 19, 2016","August 2016","No Study Results Posted","COMET","September 2016","Scoring MET expression in colorectal tissue sections by immunohistochemical analysis|Scoring the expression of Plasminogen Activator Inhibitor -1 in colorectal cancer tissue sections by Immunohistochemical analysis|Scoring the expression of COX-2 in colorectal cancer tissue sections by Immunohistochemical analysis","https://ClinicalTrials.gov/show/NCT02238821"
25,"NCT01286064","Colorectal Cancer Detection by Means of Optical Fluoroscopy","Recruiting","No Results Available","Colorectal Cancer","Device: Optical Fluoroscopy|Device: Optical Fluoroscopy","Fondazione IRCCS Istituto Nazionale dei Tumori, Milano","Both","18 Years to 75 Years   (Adult, Senior)","","200","Other","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Double Blind (Subject, Investigator)|Primary Purpose: Screening","INT-D178768","January 27, 2011","October 2010","April 2011","January 28, 2011","September 2010","No Study Results Posted","null","December 2010","Colorectal cancer detection by means of optical fluoroscopy","https://ClinicalTrials.gov/show/NCT01286064"
26,"NCT02008383","Cabozantinib and Panitumumab to Treat KRAS Wild-Type Metastatic Colorectal Cancer","Recruiting","No Results Available","Colorectal Cancer","Biological: Panitumumab|Drug: Cabozantinib","John Strickler, M.D.|Exelixis|Duke University","Both","18 Years and older   (Adult, Senior)","Phase 1","30","Other|Industry","Interventional","Allocation: Non-Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","Pro00049983","December 3, 2013","January 2014","January 2019","September 17, 2016","September 2016","No Study Results Posted","CaboMAb","January 2018","Recommended phase II dose (RPTD) for the combination of cabozantinib and panitumumab|Objective response rate (ORR) of cabozantinib monotherapy in patients with prospectively identified MET amplified metastatic colorectal cancer|Non-dose limiting toxicities of cabozantinib and panitumumab.|Response rate of cabozantinib and panitumumab|Progression free survival associated with the cabozantinib and panitumumab regimen|Overall survival associated with the cabozantinib and panitumumab regimen|Progression free survival associated with cabozantinib monotherapy in patients with MET amplified colorectal cancer|Overall survival associated with cabozantinib monotherapy in patients with MET amplified colorectal cancer|To describe the safety and tolerability of cabozantinib monotherapy in patients with MET amplified colorectal cancer","https://ClinicalTrials.gov/show/NCT02008383"
27,"NCT01385579","Effectiveness of Direct-to-Patient Outreach on Colorectal Cancer Screening Within a Low Income and Diverse Population","Completed","Has Results","Malignant Neoplasm of Large Intestine","Other: Care manager outreach","Northwestern University","Both","50 Years to 80 Years   (Adult, Senior)","","202","Other","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Prevention","STU00015652","June 28, 2011","January 2010","June 2010","November 18, 2013","November 2013","November 18, 2013","null","June 2010","Completion of a Colorectal Cancer Screening","https://ClinicalTrials.gov/show/NCT01385579"
28,"NCT00836303","Trial of a Multilevel Intervention to Increase Colorectal Cancer Screening","Completed","No Results Available","Colorectal Cancer","Behavioral: Colorecatal Cancer Screening Activation","New York University School of Medicine","Both","50 Years and older   (Adult, Senior)","","130","Other","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Masking: Single Blind (Outcomes Assessor)|Primary Purpose: Prevention","T01CD000146","February 2, 2009","December 2005","July 2007","February 2, 2009","February 2009","No Study Results Posted","null","June 2007","Completion of Colorectal cancer screening|physician recommendation for colorectal cancer screening|Patient adherence to physician recommended colorectal cancer screening test","https://ClinicalTrials.gov/show/NCT00836303"
29,"NCT01526239","Reminding Patients of the Important of Colorectal Cancer Screening Results in Patient-Initiated Promoting Colorectal Cancer Screening Via Colonoscopy","Completed","No Results Available","Colon Cancer","Other: Colorectal cancer screening pamphlet","University of Oklahoma","Both","45 Years and older   (Adult, Senior)","","274","Other","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Masking: Double Blind (Subject, Caregiver)|Primary Purpose: Screening","14225","January 3, 2012","November 2008","November 2010","February 2, 2012","January 2012","No Study Results Posted","null","November 2010","Communication with primary care physicians about CRC screening","https://ClinicalTrials.gov/show/NCT01526239"
30,"NCT01850654","Ohio Colorectal Cancer Prevention Initiative","Recruiting","No Results Available","Lynch Syndrome|Colorectal Cancer","Genetic: LS tumor screening|Genetic: Genetic testing|Behavioral: Genetic Counseling|Other: Biorepository|Behavioral: Questionnaire","Ohio State University Comprehensive Cancer Center","Both","18 Years and older   (Adult, Senior)","","5000","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Screening","OSU-12170","May 3, 2013","December 2012","September 2018","August 23, 2016","August 2016","No Study Results Posted","OCCPI","June 2017","Determine the Incidence of Hereditary Cancer Syndromes among Newly Diagnosed Colorectal Cancer Patients","https://ClinicalTrials.gov/show/NCT01850654"
31,"NCT00777192","Longitudinal Study of Symptoms in Colorectal Cancer","Active, not recruiting","No Results Available","Colorectal Cancer","Behavioral: Questionnaires","M.D. Anderson Cancer Center|AstraZeneca","Both","18 Years and older   (Adult, Senior)","","500","Other|Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","2007-0637","October 20, 2008","August 2008","null","February 18, 2016","February 2016","No Study Results Posted","null","August 2017","Association between inflammatory cytokines and development of treatment-related symptom burden in colorectal cancer patients|Primary afferent function in colorectal cancer patients receiving chemotherapy by quantitative sensory testing over time|Neurocognitive and neuropsychiatric symptoms in colorectal cancer patients","https://ClinicalTrials.gov/show/NCT00777192"
32,"NCT00578721","Trial of Aspirin and Arginine Restriction in Colorectal Cancer","Recruiting","No Results Available","Colorectal Cancer","Drug: Aspirin","University of California, Irvine","Both","18 Years to 80 Years   (Adult, Senior)","Phase 2","24","Other","Interventional","Allocation: Non-Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Prevention","UCI 07-47","December 18, 2007","September 2008","December 2013","January 28, 2013","January 2013","No Study Results Posted","null","May 2013","To demonstrate a > 50% decrease in rectal tissue putrescine levels from baseline in study subjects, as a measure of polyamine reduction in the target tissue of colorectal cancer patients|To determine this intervention's side-effect profile in a population of optimally-treated colorectal cancer patients. We expect to demonstrate biomarker alterations without clinical side effects","https://ClinicalTrials.gov/show/NCT00578721"
33,"NCT02503631","Stool Sample Collection Protocol for Development of Screening Test for Colorectal Cancer and Other Digestive Tract Cancers","Recruiting","No Results Available","Colorectal Neoplasms|Digestive System Diseases|Colonic Diseases|Colorectal Cancer","Device: Stool Sample Collection Kit","Exact Sciences Corporation","Both","40 Years to 90 Years   (Adult, Senior)","","300","Industry","Observational","Observational Model: Case-Only|Time Perspective: Prospective","2014-02","July 17, 2015","October 2014","July 2017","August 9, 2016","August 2016","No Study Results Posted","null","March 2017","To provide stool and blood specimens to assess new markers for the detection of CRC|To provide stool and blood specimens for use as controls when assessing new markers for the detection of neoplasms in other locations within the digestive tract (esophagus, stomach, pancreas, etc.)|To provide stool and blood specimens for a biorepository for future cancer-related diagnostic test development|To provide quality control material for use in assessing performance of developed assays","https://ClinicalTrials.gov/show/NCT02503631"
34,"NCT01234246","Sexual Dysfunction and the Quality of Sexual Life in Patients With Colorectal Cancer and Their Partners.","Recruiting","No Results Available","Colorectal Cancer Patients and Their Partners","","University of Tilburg|Dutch Cancer Society","Both","18 Years to 75 Years   (Adult, Senior)","","1200","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","NL32121.008.10|UVT 2009-4495","November 3, 2010","March 2010","March 2014","November 3, 2010","August 2010","No Study Results Posted","null","null","","https://ClinicalTrials.gov/show/NCT01234246"
